
Image Name                     PID Session Name        Session#    Mem Usage
chrome.exe                   20340 Console                   10     54ÿ632 K
chrome.exe                   21252 Console                   10     54ÿ920 K
chrome.exe                    8148 Console                   10     52ÿ648 K
chrome.exe                   11360 Console                   10     54ÿ120 K
chrome.exe                   16500 Console                   10     58ÿ424 K
chrome.exe                   19720 Console                   10     50ÿ348 K
chrome.exe                   11568 Console                   10     55ÿ480 K
chrome.exe                   25480 Console                   10     55ÿ436 K
chrome.exe                    7616 Console                   10     52ÿ848 K
chrome.exe                   16824 Console                   10     58ÿ096 K
chrome.exe                     764 Console                   10     54ÿ188 K
chrome.exe                   23320 Console                   10     51ÿ492 K
chrome.exe                   21684 Console                   10     51ÿ488 K
chrome.exe                    4892 Console                   10     50ÿ440 K
chrome.exe                   23016 Console                   10     51ÿ444 K
notepad++.exe                23212 Console                   10     30ÿ668 K
chrome.exe                    9824 Console                   10     29ÿ976 K
WmiPrvSE.exe                  9004 Services                   0     11ÿ644 K
tasklist.exe                 19756 Console                   10      9ÿ792 K
